,number,company,2022,2021,2020
540,014580,태경비케이,True,True,True
541,015890,태경산업,True,True,True
542,006890,태경케미컬,True,True,True
543,003240,태광산업,True,True,True
544,011280,태림포장,True,True,True
545,004100,태양금속,True,True,True
546,004105,태양금속우,True,True,True
547,009410,태영건설,True,True,True
548,009415,태영건설우,True,True,True
549,001420,태원물산,True,True,True
550,055490,테이팩스,True,True,True
551,078000,텔코웨어,True,True,True
552,019180,티에이치엔,True,True,True
553,036580,팜스코,True,True,True
554,028670,팬오션,True,True,True
555,016800,퍼시스,True,True,True
556,010770,평화홀딩스,True,True,True
557,058430,포스코스틸리온,True,True,True
558,047050,포스코인터내셔널,True,True,True
559,003670,포스코케미칼,True,True,True
560,017810,풀무원,True,True,True
561,103140,풍산,True,True,True
562,005810,풍산홀딩스,True,True,True
563,086790,하나금융지주,True,True,True
564,293480,하나제약,True,True,True
565,071090,하이스틸,True,True,True
566,000080,하이트진로,True,True,True
567,000087,하이트진로2우B,True,True,True
568,000140,하이트진로홀딩스,True,True,True
569,000145,하이트진로홀딩스우,True,True,True
570,152550,한국ANKOR유전,True,True,True
571,036460,한국가스공사,True,True,True
572,071050,한국금융지주,True,True,True
573,071055,한국금융지주우,True,True,True
574,010040,한국내화,True,True,True
575,025540,한국단자,True,True,True
576,004090,한국석유,True,True,True
577,002200,한국수출포장,True,True,True
578,002960,한국쉘석유,True,True,True
579,000240,한국앤컴퍼니,True,True,True
580,123890,한국자산신탁,True,True,True
581,023350,한국종합기술,True,True,True
582,000970,한국주철관,True,True,True
583,104700,한국철강,True,True,True
584,017960,한국카본,True,True,True
585,161890,한국콜마,True,True,True
586,024720,한국콜마홀딩스,True,True,True
587,161390,한국타이어앤테크놀로지,True,True,True
588,034830,한국토지신탁,True,True,True
589,168490,한국패러랠,True,True,True
590,010100,한국프랜지,True,True,True
591,047810,한국항공우주,True,True,True
592,011500,한농화성,True,True,True
593,002390,한독,True,True,True
594,014790,한라,True,True,True
595,060980,한라홀딩스,True,True,True
596,053690,한미글로벌,True,True,True
597,042700,한미반도체,True,True,True
598,008930,한미사이언스,True,True,True
599,128940,한미약품,True,True,True
600,009240,한샘,True,True,True
601,020000,한섬,True,True,True
602,105630,한세실업,True,True,True
603,016450,한세예스24홀딩스,True,True,True
604,010420,한솔PNS,True,True,True
605,009180,한솔로지스틱스,True,True,True
606,213500,한솔제지,True,True,True
607,014680,한솔케미칼,True,True,True
608,004150,한솔홀딩스,True,True,True
609,025750,한솔홈데코,True,True,True
610,004960,한신공영,True,True,True
611,011700,한신기계,True,True,True
612,001750,한양증권,True,True,True
613,001755,한양증권우,True,True,True
614,018880,한온시스템,True,True,True
615,300720,한일시멘트,True,True,True
616,002220,한일철강,True,True,True
617,006390,한일현대시멘트,True,True,True
618,003300,한일홀딩스,True,True,True
619,051600,한전KPS,True,True,True
620,052690,한전기술,True,True,True
621,130660,한전산업,True,True,True
622,002320,한진,True,True,True
623,003480,한진중공업홀딩스,True,True,True
624,009460,한창제지,True,True,True
625,000880,한화,True,True,True
626,00088K,한화3우B,True,True,True
627,272210,한화시스템,True,True,True
628,012450,한화에어로스페이스,True,True,True
629,000885,한화우,True,True,True
630,003530,한화투자증권,True,True,True
631,003535,한화투자증권우,True,True,True
632,195870,해성디에스,True,True,True
633,101530,해태제과식품,True,True,True
634,000720,현대건설,True,True,True
635,267270,현대건설기계,True,True,True
636,000725,현대건설우,True,True,True
637,005440,현대그린푸드,True,True,True
638,086280,현대글로비스,True,True,True
639,079430,현대리바트,True,True,True
640,012330,현대모비스,True,True,True
641,069960,현대백화점,True,True,True
642,004560,현대비앤지스틸,True,True,True
643,004565,현대비앤지스틸우,True,True,True
644,004310,현대약품,True,True,True
645,017800,현대엘리베이,True,True,True
646,307950,현대오토에버,True,True,True
647,011210,현대위아,True,True,True
648,004020,현대제철,True,True,True
649,005380,현대차,True,True,True
650,005387,현대차2우B,True,True,True
651,005389,현대차3우B,True,True,True
652,005385,현대차우,True,True,True
653,001500,현대차증권,True,True,True
654,011760,현대코퍼레이션,True,True,True
655,227840,현대코퍼레이션홀딩스,True,True,True
656,126560,현대퓨처넷,True,True,True
657,001450,현대해상,True,True,True
658,057050,현대홈쇼핑,True,True,True
659,003010,혜인,True,True,True
660,111110,호전실업,True,True,True
661,008770,호텔신라,True,True,True
662,008775,호텔신라우,True,True,True
